0,Williamsburg (North Side)
1,Williamsburg (South Side)
2,Williamsburg (North Side)
3,Williamsburg (South Side)
4,East Williamsburg
5,East Williamsburg
6,Brooklyn Heights
7,Downtown Brooklyn/MetroTech
8,Brooklyn Heights
9,Downtown Brooklyn/MetroTech
10,Downtown Brooklyn/MetroTech
11,Downtown Brooklyn/MetroTech
12,Downtown Brooklyn/MetroTech
13,Downtown Brooklyn/MetroTech
14,Downtown Brooklyn/MetroTech
15,Downtown Brooklyn/MetroTech
16,Downtown Brooklyn/MetroTech
17,Downtown Brooklyn/MetroTech
18,Brooklyn Heights
19,Downtown Brooklyn/MetroTech
20,Downtown Brooklyn/MetroTech
21,Park Slope
22,Park Slope
23,Williamsburg (South Side)
